order_line_id,order_id,product_id,order_qty,delivery_qty,agreed_delivery_date,actual_delivery_date
OL000001,FMR34203601,25891601,110,110,2022-03-04,2022-03-04
OL000002,FMR32320302,25891203,347,347,2022-03-02,2022-03-02
OL000003,FMR33320501,25891203,187,150,2022-03-03,2022-03-03
OL000004,FMR34220601,25891203,235,235,2022-03-04,2022-03-04
OL000005,FMR33703603,25891203,176,176,2022-03-03,2022-03-03
OL000006,FMR33721603,25891203,345,345,2022-03-03,2022-03-03
OL000007,FMR33420203,25891203,138,138,2022-03-03,2022-03-06
OL000008,FMR34420402,25891203,381,381,2022-03-04,2022-03-05
OL000009,FMR32403401,25891203,348,348,2022-03-02,2022-03-02
OL000010,FMR34121203,25891203,480,480,2022-03-04,2022-03-06
OL000011,FMR32501601,25891203,478,478,2022-03-02,2022-03-02
OL000012,FMR34501203,25891203,491,491,2022-03-04,2022-03-04
OL000013,FMR34102602,25891203,407,387,2022-03-04,2022-03-04
OL000014,FMR33902203,25891203,299,299,2022-03-03,2022-03-03
OL000015,FMR34903603,25891203,329,329,2022-03-04,2022-03-04
OL000016,FMR32421203,25891203,441,419,2022-03-02,2022-03-03
OL000017,FMR33421203,25891203,104,99,2022-03-03,2022-03-06
OL000018,FMR33402203,25891203,491,491,2022-03-03,2022-03-05
OL000019,FMR33621603,25891203,138,138,2022-03-03,2022-03-03
OL000020,FMR34520301,25891203,172,155,2022-03-04,2022-03-04
OL000021,FMR33702302,25891302,38,30,2022-03-03,2022-03-03
OL000022,FMR32320302,25891302,54,54,2022-03-02,2022-03-02
OL000023,FMR34603302,25891302,37,37,2022-03-04,2022-03-04
OL000024,FMR34721502,25891302,63,60,2022-03-04,2022-03-05
OL000025,FMR33621302,25891302,56,56,2022-03-03,2022-03-04
OL000026,FMR32520302,25891302,54,49,2022-03-02,2022-03-03
OL000027,FMR33520601,25891302,42,34,2022-03-03,2022-03-05
OL000028,FMR34520302,25891302,23,22,2022-03-04,2022-03-05
OL000029,FMR32420602,25891302,49,49,2022-03-02,2022-03-04
OL000030,FMR32902402,25891302,70,70,2022-03-02,2022-03-02
OL000031,FMR32521302,25891302,34,34,2022-03-02,2022-03-03
OL000032,FMR32720302,25891302,49,49,2022-03-02,2022-03-02
OL000033,FMR33401603,25891302,40,40,2022-03-03,2022-03-03
OL000034,FMR33121302,25891302,26,26,2022-03-03,2022-03-03
OL000035,FMR32903403,25891302,42,40,2022-03-02,2022-03-02
OL000036,FMR32422302,25891302,67,54,2022-03-02,2022-03-05
