order_line_id,order_id,product_id,order_qty,delivery_qty,agreed_delivery_date,actual_delivery_date
1,FMR34203601,25891601,110,110,2022-03-04,2022-03-04
2,FMR32320302,25891203,347,347,2022-03-02,2022-03-02
3,FMR33320501,25891203,187,150,2022-03-03,2022-03-03
4,FMR34220601,25891203,235,235,2022-03-04,2022-03-04
5,FMR33703603,25891203,176,176,2022-03-03,2022-03-03
6,FMR33721603,25891203,345,345,2022-03-03,2022-03-03
7,FMR33420203,25891203,138,138,2022-03-03,2022-03-06
8,FMR34420402,25891203,381,381,2022-03-04,2022-03-05
9,FMR32403401,25891203,348,348,2022-03-02,2022-03-02
10,FMR34121203,25891203,480,480,2022-03-04,2022-03-06
11,FMR32501601,25891203,478,478,2022-03-02,2022-03-02
12,FMR34501203,25891203,491,491,2022-03-04,2022-03-04
13,FMR34102602,25891203,407,387,2022-03-04,2022-03-04
14,FMR33902203,25891203,299,299,2022-03-03,2022-03-03
15,FMR34903603,25891203,329,329,2022-03-04,2022-03-04
16,FMR32421203,25891203,441,419,2022-03-02,2022-03-03
17,FMR33421203,25891203,104,99,2022-03-03,2022-03-06
18,FMR33402203,25891203,491,491,2022-03-03,2022-03-05
19,FMR33621603,25891203,138,138,2022-03-03,2022-03-03
20,FMR34520301,25891203,172,155,2022-03-04,2022-03-04
21,FMR33702302,25891302,38,30,2022-03-03,2022-03-03
22,FMR32320302,25891302,54,54,2022-03-02,2022-03-02
23,FMR34603302,25891302,37,37,2022-03-04,2022-03-04
24,FMR34721502,25891302,63,60,2022-03-04,2022-03-05
25,FMR33621302,25891302,56,56,2022-03-03,2022-03-04
26,FMR32520302,25891302,54,49,2022-03-02,2022-03-03
27,FMR33520601,25891302,42,34,2022-03-03,2022-03-05
28,FMR34520302,25891302,23,22,2022-03-04,2022-03-05
29,FMR32420602,25891302,49,49,2022-03-02,2022-03-04
30,FMR32902402,25891302,70,70,2022-03-02,2022-03-02
31,FMR32521302,25891302,34,34,2022-03-02,2022-03-03
32,FMR32720302,25891302,49,49,2022-03-02,2022-03-02
33,FMR33401603,25891302,40,40,2022-03-03,2022-03-03
34,FMR33121302,25891302,26,26,2022-03-03,2022-03-03
35,FMR32903403,25891302,42,40,2022-03-02,2022-03-02
36,FMR32422302,25891302,67,54,2022-03-02,2022-03-05
37,FMR32301302,25891302,29,29,2022-03-02,2022-03-05
38,FMR33721603,25891301,59,59,2022-03-03,2022-03-03
39,FMR32420403,25891301,87,87,2022-03-02,2022-03-02
40,FMR33420301,25891301,23,18,2022-03-03,2022-03-05
41,FMR33320501,25891301,46,46,2022-03-03,2022-03-03
42,FMR33122301,25891301,29,26,2022-03-03,2022-03-05
43,FMR34101301,25891301,76,76,2022-03-04,2022-03-04
44,FMR33421301,25891301,75,67,2022-03-03,2022-03-05
45,FMR34421301,25891301,47,45,2022-03-04,2022-03-04
46,FMR34103403,25891301,71,67,2022-03-04,2022-03-04
47,FMR32121301,25891301,72,65,2022-03-02,2022-03-03
48,FMR34203601,25891301,100,100,2022-03-04,2022-03-04
49,FMR33402303,25891301,94,94,2022-03-03,2022-03-03
50,FMR34221301,25891301,44,44,2022-03-04,2022-03-04
51,FMR34202301,25891301,45,45,2022-03-04,2022-03-04
52,FMR32522301,25891301,46,46,2022-03-02,2022-03-03
53,FMR34522403,25891301,47,38,2022-03-04,2022-03-05
54,FMR34520301,25891301,38,34,2022-03-04,2022-03-04
55,FMR33301301,25891301,92,83,2022-03-03,2022-03-03
56,FMR34303602,25891301,44,40,2022-03-04,2022-03-04
57,FMR33220603,25891301,75,75,2022-03-03,2022-03-03
58,FMR32422301,25891301,63,63,2022-03-02,2022-03-02
59,FMR33422301,25891301,63,60,2022-03-03,2022-03-05
60,FMR34303602,25891102,352,317,2022-03-04,2022-03-04
61,FMR34401102,25891102,369,369,2022-03-04,2022-03-03
62,FMR34520302,25891102,373,336,2022-03-04,2022-03-05
63,FMR32121102,25891102,397,377,2022-03-02,2022-03-01
64,FMR33902203,25891102,494,395,2022-03-03,2022-03-03
65,FMR34902102,25891102,465,465,2022-03-04,2022-03-05
66,FMR32503401,25891102,459,367,2022-03-02,2022-03-02
67,FMR32720302,25891102,402,402,2022-03-02,2022-03-02
68,FMR33720202,25891102,483,483,2022-03-03,2022-03-03
69,FMR34321602,25891102,368,331,2022-03-04,2022-03-04
70,FMR32103503,25891102,307,246,2022-03-02,2022-03-02
71,FMR32421102,25891102,309,278,2022-03-02,2022-03-04
72,FMR34421301,25891102,412,391,2022-03-04,2022-03-04
73,FMR34320102,25891102,432,432,2022-03-04,2022-03-05
74,FMR32420102,25891102,310,310,2022-03-02,2022-03-05
75,FMR32702601,25891102,478,454,2022-03-02,2022-03-02
76,FMR34220601,25891102,473,473,2022-03-04,2022-03-04
77,FMR34201202,25891102,372,353,2022-03-04,2022-03-04
78,FMR32102102,25891102,496,496,2022-03-02,2022-03-01
79,FMR34122102,25891102,443,399,2022-03-04,2022-03-06
80,FMR33621102,25891102,480,480,2022-03-03,2022-03-06
81,FMR32622502,25891502,153,138,2022-03-02,2022-03-02
82,FMR33622502,25891502,132,132,2022-03-03,2022-03-03
83,FMR32420602,25891502,165,157,2022-03-02,2022-03-04
84,FMR32201502,25891502,160,160,2022-03-02,2022-03-02
85,FMR33220603,25891502,211,211,2022-03-03,2022-03-03
86,FMR33202502,25891502,141,134,2022-03-03,2022-03-03
87,FMR33520502,25891502,173,173,2022-03-03,2022-03-06
88,FMR34520503,25891502,143,129,2022-03-04,2022-03-07
89,FMR33503502,25891502,238,238,2022-03-03,2022-03-03
90,FMR34503502,25891502,231,231,2022-03-04,2022-03-03
91,FMR33401603,25891502,140,133,2022-03-03,2022-03-03
92,FMR34401503,25891502,200,200,2022-03-04,2022-03-04
93,FMR34721502,25891502,123,98,2022-03-04,2022-03-05
94,FMR34702502,25891502,239,215,2022-03-04,2022-03-04
95,FMR33521502,25891502,167,167,2022-03-03,2022-03-05
96,FMR33520502,25891403,359,341,2022-03-03,2022-03-06
97,FMR33320501,25891403,239,239,2022-03-03,2022-03-03
98,FMR34422403,25891403,265,252,2022-03-04,2022-03-06
99,FMR32903403,25891403,244,220,2022-03-02,2022-03-02
100,FMR32420403,25891403,397,318,2022-03-02,2022-03-02
101,FMR33101403,25891403,315,283,2022-03-03,2022-03-03
102,FMR32202603,25891403,440,440,2022-03-02,2022-03-02
103,FMR34303602,25891403,427,406,2022-03-04,2022-03-04
104,FMR32121403,25891403,441,441,2022-03-02,2022-03-02
105,FMR34522403,25891403,320,320,2022-03-04,2022-03-05
106,FMR34103403,25891403,467,420,2022-03-04,2022-03-04
107,FMR32220503,25891403,465,372,2022-03-02,2022-03-02
108,FMR32622503,25891503,208,198,2022-03-02,2022-03-01
109,FMR34622602,25891503,241,241,2022-03-04,2022-03-04
110,FMR33720503,25891503,146,146,2022-03-03,2022-03-04
111,FMR32220503,25891503,115,103,2022-03-02,2022-03-02
112,FMR33220603,25891503,239,239,2022-03-03,2022-03-03
113,FMR34321602,25891503,246,246,2022-03-04,2022-03-04
114,FMR32221603,25891503,158,158,2022-03-02,2022-03-02
115,FMR33221503,25891503,106,101,2022-03-03,2022-03-03
116,FMR32103503,25891503,126,120,2022-03-02,2022-03-02
117,FMR33401603,25891503,161,145,2022-03-03,2022-03-03
118,FMR34401503,25891503,192,192,2022-03-04,2022-03-04
119,FMR34721503,25891503,144,137,2022-03-04,2022-03-04
120,FMR33320503,25891503,140,140,2022-03-03,2022-03-06
121,FMR34520503,25891503,233,221,2022-03-04,2022-03-07
122,FMR32101601,25891503,183,183,2022-03-02,2022-03-02
123,FMR32422503,25891503,138,110,2022-03-02,2022-03-03
124,FMR34603302,25891103,378,378,2022-03-04,2022-03-04
125,FMR34702602,25891103,480,432,2022-03-04,2022-03-03
126,FMR32601103,25891103,310,294,2022-03-02,2022-03-02
127,FMR34601402,25891103,388,310,2022-03-04,2022-03-04
128,FMR33303501,25891103,335,335,2022-03-03,2022-03-03
129,FMR32621103,25891103,431,431,2022-03-02,2022-03-02
130,FMR34621103,25891103,357,339,2022-03-04,2022-03-04
131,FMR32501601,25891103,318,318,2022-03-02,2022-03-02
132,FMR33501401,25891103,400,400,2022-03-03,2022-03-03
133,FMR34501203,25891103,327,327,2022-03-04,2022-03-04
134,FMR34402202,25891103,340,272,2022-03-04,2022-03-04
135,FMR32221603,25891103,430,430,2022-03-02,2022-03-02
136,FMR33522103,25891103,384,384,2022-03-03,2022-03-04
137,FMR33503502,25891103,325,309,2022-03-03,2022-03-03
138,FMR33122301,25891103,403,403,2022-03-03,2022-03-05
139,FMR34122103,25891103,458,458,2022-03-04,2022-03-03
140,FMR32401103,25891103,476,476,2022-03-02,2022-03-02
141,FMR34301103,25891103,351,351,2022-03-04,2022-03-06
142,FMR34902103,25891103,456,410,2022-03-04,2022-03-06
143,FMR32202603,25891103,389,370,2022-03-02,2022-03-02
144,FMR34721103,25891103,468,468,2022-03-04,2022-03-06
145,FMR33420203,25891103,357,357,2022-03-03,2022-03-06
146,FMR34420402,25891103,325,325,2022-03-04,2022-03-05
147,FMR32321103,25891103,478,478,2022-03-02,2022-03-03
148,FMR33321602,25891103,465,419,2022-03-03,2022-03-03
149,FMR32422401,25891103,317,317,2022-03-02,2022-03-04
150,FMR34522601,25891601,181,163,2022-03-04,2022-03-07
151,FMR32202603,25891601,125,119,2022-03-02,2022-03-02
152,FMR32702601,25891601,93,74,2022-03-02,2022-03-02
153,FMR33520601,25891601,182,146,2022-03-03,2022-03-05
154,FMR32902601,25891601,93,88,2022-03-02,2022-03-03
155,FMR33103602,25891601,188,150,2022-03-03,2022-03-03
156,FMR33201602,25891601,180,171,2022-03-03,2022-03-03
157,FMR34622602,25891601,96,91,2022-03-04,2022-03-04
158,FMR32101601,25891601,124,124,2022-03-02,2022-03-02
159,FMR34220601,25891601,78,78,2022-03-04,2022-03-04
160,FMR34122601,25891601,68,61,2022-03-04,2022-03-07
161,FMR33321601,25891601,157,157,2022-03-03,2022-03-05
162,FMR33903601,25891601,93,84,2022-03-03,2022-03-03
163,FMR34621601,25891601,170,170,2022-03-04,2022-03-07
164,FMR32421601,25891601,108,103,2022-03-02,2022-03-02
165,FMR34421601,25891601,75,75,2022-03-04,2022-03-05
166,FMR33102601,25891601,180,180,2022-03-03,2022-03-03
167,FMR33401603,25891203,429,429,2022-03-03,2022-03-03
168,FMR32501601,25891601,139,139,2022-03-02,2022-03-02
169,FMR32603203,25891203,460,460,2022-03-02,2022-03-03
170,FMR34420402,25891402,353,353,2022-03-04,2022-03-05
171,FMR34401402,25891402,468,468,2022-03-04,2022-03-06
172,FMR34720402,25891402,472,448,2022-03-04,2022-03-05
173,FMR34721503,25891402,436,414,2022-03-04,2022-03-04
174,FMR34601402,25891402,208,208,2022-03-04,2022-03-04
175,FMR32520603,25891402,287,258,2022-03-02,2022-03-02
176,FMR33503502,25891402,450,450,2022-03-03,2022-03-03
177,FMR32203402,25891402,488,488,2022-03-02,2022-03-02
178,FMR32902402,25891402,405,405,2022-03-02,2022-03-02
179,FMR33321602,25891402,283,283,2022-03-03,2022-03-03
180,FMR33122402,25891402,460,437,2022-03-03,2022-03-06
181,FMR34122402,25891402,256,205,2022-03-04,2022-03-04
182,FMR34621601,25891402,220,220,2022-03-04,2022-03-07
183,FMR32221402,25891402,384,384,2022-03-02,2022-03-03
184,FMR33221402,25891402,342,342,2022-03-03,2022-03-04
185,FMR32622402,25891402,309,247,2022-03-02,2022-03-03
186,FMR34622602,25891402,462,439,2022-03-04,2022-03-04
187,FMR32202402,25891402,442,442,2022-03-02,2022-03-03
188,FMR34301602,25891201,308,308,2022-03-04,2022-03-04
189,FMR33521201,25891201,487,463,2022-03-03,2022-03-04
190,FMR33401603,25891201,461,461,2022-03-03,2022-03-03
191,FMR33320501,25891201,354,354,2022-03-03,2022-03-03
192,FMR32321201,25891201,374,374,2022-03-02,2022-03-02
193,FMR34102602,25891201,440,440,2022-03-04,2022-03-04
194,FMR32103503,25891201,112,101,2022-03-02,2022-03-02
195,FMR32501201,25891201,273,273,2022-03-02,2022-03-01
196,FMR34220601,25891201,378,378,2022-03-04,2022-03-04
197,FMR34702502,25891201,156,156,2022-03-04,2022-03-04
198,FMR34201201,25891201,291,233,2022-03-04,2022-03-05
199,FMR32622502,25891201,274,247,2022-03-02,2022-03-02
200,FMR34101201,25891201,489,489,2022-03-04,2022-03-05
201,FMR34520602,25891501,204,184,2022-03-04,2022-03-06
202,FMR33203603,25891501,104,104,2022-03-03,2022-03-03
203,FMR34420501,25891501,210,210,2022-03-04,2022-03-06
204,FMR33403501,25891501,241,229,2022-03-03,2022-03-03
205,FMR34121501,25891501,159,127,2022-03-04,2022-03-03
206,FMR34903603,25891501,136,136,2022-03-04,2022-03-04
207,FMR33320501,25891501,249,249,2022-03-03,2022-03-03
208,FMR32221603,25891501,140,140,2022-03-02,2022-03-02
209,FMR32101601,25891501,241,241,2022-03-02,2022-03-02
210,FMR33303501,25891501,105,105,2022-03-03,2022-03-03
211,FMR32102602,25891501,114,91,2022-03-02,2022-03-02
212,FMR32402602,25891501,223,223,2022-03-02,2022-03-02
213,FMR33720501,25891501,182,182,2022-03-03,2022-03-02
214,FMR32301603,25891501,238,238,2022-03-02,2022-03-02
215,FMR34301602,25891602,92,83,2022-03-04,2022-03-04
216,FMR34303602,25891602,98,98,2022-03-04,2022-03-04
217,FMR34702602,25891602,155,155,2022-03-04,2022-03-03
218,FMR32102602,25891602,63,63,2022-03-02,2022-03-02
219,FMR34102602,25891602,154,154,2022-03-04,2022-03-04
220,FMR34703602,25891602,163,163,2022-03-04,2022-03-04
221,FMR32420602,25891602,76,76,2022-03-02,2022-03-04
222,FMR33321602,25891602,78,74,2022-03-03,2022-03-03
223,FMR34321602,25891602,60,60,2022-03-04,2022-03-04
224,FMR32402602,25891602,172,163,2022-03-02,2022-03-02
225,FMR33203603,25891602,184,184,2022-03-03,2022-03-03
226,FMR32103602,25891602,86,77,2022-03-02,2022-03-01
227,FMR33103602,25891602,172,163,2022-03-03,2022-03-03
228,FMR33201602,25891602,52,52,2022-03-03,2022-03-03
229,FMR34320602,25891602,190,190,2022-03-04,2022-03-04
230,FMR34520602,25891602,164,131,2022-03-04,2022-03-06
231,FMR34622602,25891602,54,54,2022-03-04,2022-03-04
232,FMR32220602,25891602,77,77,2022-03-02,2022-03-01
233,FMR33220603,25891602,65,65,2022-03-03,2022-03-03
234,FMR33721603,25891602,148,148,2022-03-03,2022-03-03
235,FMR33501401,25891101,484,484,2022-03-03,2022-03-03
236,FMR32101601,25891101,474,474,2022-03-02,2022-03-02
237,FMR33101403,25891101,349,349,2022-03-03,2022-03-03
238,FMR32703401,25891101,492,492,2022-03-02,2022-03-02
239,FMR33321602,25891101,345,345,2022-03-03,2022-03-03
240,FMR32203101,25891101,409,389,2022-03-02,2022-03-04
241,FMR33203603,25891101,368,294,2022-03-03,2022-03-03
242,FMR32903403,25891101,343,326,2022-03-02,2022-03-02
243,FMR34122303,25891101,410,390,2022-03-04,2022-03-05
244,FMR33202502,25891101,391,391,2022-03-03,2022-03-03
245,FMR34202301,25891101,431,431,2022-03-04,2022-03-04
246,FMR33403501,25891101,379,379,2022-03-03,2022-03-03
247,FMR34401102,25891101,454,454,2022-03-04,2022-03-03
248,FMR33503502,25891101,362,362,2022-03-03,2022-03-03
249,FMR33420101,25891101,306,306,2022-03-03,2022-03-04
250,FMR34420501,25891101,494,494,2022-03-04,2022-03-06
251,FMR34622101,25891101,423,402,2022-03-04,2022-03-03
252,FMR34520301,25891101,428,385,2022-03-04,2022-03-04
253,FMR34422101,25891101,444,444,2022-03-04,2022-03-05
254,FMR34603401,25891401,313,313,2022-03-04,2022-03-05
255,FMR33501401,25891401,288,259,2022-03-03,2022-03-03
256,FMR32503401,25891401,449,449,2022-03-02,2022-03-02
